,num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
507324,58,52,18,0,0,0,14,0,1
507326,68,63,8,0,0,0,15,0,1
507327,542,272,137,0,0,0,23,1,1
507330,61,51,22,0,0,0,7,0,1
507335,10,9,1,0,0,0,1,0,1
507338,560,236,261,2,2,2,4,0,1
507340,133,86,41,3,3,1,8,0,1
507349,77,61,22,1,1,0,3,0,1
507351,82,67,21,0,0,0,5,0,1
507366,40,40,1,0,0,0,4,0,1
507368,115,88,38,0,0,0,19,0,1
507369,118,81,21,0,0,0,34,0,1
507371,41,35,14,0,0,0,1,0,1
507374,117,88,29,0,0,0,9,0,1
507375,171,112,45,1,1,4,13,0,1
507379,119,87,29,1,1,0,9,1,1
507383,432,218,146,1,1,1,24,0,1
507384,124,101,20,0,0,0,8,0,1
507387,144,108,48,0,0,0,11,1,1
507389,8,8,1,0,0,0,0,0,1
507393,122,89,35,2,2,0,7,0,1
507396,99,66,19,0,0,0,15,0,1
507397,15,14,4,0,0,0,0,0,1
507401,1535,660,336,3,3,1,211,1,1
507402,58,49,14,0,0,0,6,2,1
507406,102,69,6,0,0,0,27,0,1
507411,605,325,189,0,0,0,30,1,1
507412,47,42,8,0,0,0,7,0,1
507414,38,38,0,0,0,0,2,0,1
507415,144,105,39,0,0,0,13,0,1
507426,902,111,74,0,0,0,382,0,1
507427,350,205,116,0,0,0,11,0,1
507428,73,63,8,0,0,0,18,0,1
507429,82,63,26,0,0,1,6,0,1
507430,64,63,8,0,0,0,0,0,1
507431,163,96,74,0,0,0,0,1,1
507433,16,15,6,0,0,0,2,0,1
507435,439,248,123,0,0,0,11,1,1
507436,1269,409,483,0,0,0,21,3,1
507439,48,46,13,0,0,0,10,0,1
507442,107,86,23,0,0,0,16,0,1
507444,573,101,87,0,0,0,202,0,1
507448,45,44,6,0,0,0,4,0,1
507452,110,72,38,0,0,0,6,0,1
507453,474,241,175,3,1,1,10,0,1
507457,84,66,28,0,0,0,11,0,1
507464,171,117,47,0,0,0,26,0,1
507466,39,38,13,0,0,0,3,0,1
507468,44,37,9,0,0,0,4,0,1
507472,806,323,330,0,0,0,10,0,1
507473,38,32,14,0,0,0,0,0,1
507477,154,113,42,1,1,0,5,1,1
507480,339,218,94,0,0,0,24,1,1
507481,413,196,126,0,0,0,10,3,1
507482,610,291,213,0,0,0,12,3,1
507484,366,183,51,0,0,0,17,0,1
507485,77,57,31,1,1,0,4,1,1
507494,74,65,10,0,0,0,19,0,1
507495,42,38,11,0,0,0,5,0,1
507501,7,7,1,0,0,0,1,0,1
507504,108,78,14,0,0,0,29,0,1
507505,119,79,38,0,0,0,12,0,1
507506,52,42,24,0,0,0,0,0,1
507509,186,128,64,0,0,0,14,1,1
507511,70,56,29,0,0,0,5,0,1
507512,23,22,5,0,0,0,1,1,1
507513,110,75,37,0,0,0,12,0,1
507514,15,13,1,0,0,0,1,0,1
507517,304,189,77,0,0,0,23,0,1
507519,498,273,164,4,4,2,26,2,1
507520,316,165,97,6,5,0,17,0,1
507521,226,129,77,0,0,0,15,1,1
507524,93,84,6,0,0,0,9,0,1
507525,46,42,15,0,0,0,1,0,1
507529,452,256,153,0,0,0,11,1,1
507530,2561,956,236,0,0,0,561,1,1
507532,73,57,19,2,1,0,4,0,1
507536,67,64,7,0,0,0,16,0,1
507543,38,36,4,0,0,0,2,0,1
507549,49,45,4,0,0,0,1,0,1
507550,476,243,198,1,1,2,26,2,1
507554,921,373,322,0,0,0,20,2,1
507555,93,75,33,0,0,0,6,1,1
507557,133,108,27,0,0,0,8,0,1
507560,314,174,128,1,1,3,16,0,1
507562,82,68,25,0,0,0,14,0,1
507566,102,68,6,0,0,0,24,0,1
507567,69,58,22,0,0,0,6,0,1
507568,643,344,207,0,0,0,77,0,1
507570,12,11,4,0,0,0,0,0,1
507572,102,68,6,0,0,0,24,0,1
507576,255,134,94,1,1,1,9,2,1
507577,498,212,190,0,0,0,15,1,1
507578,124,88,28,0,0,0,10,1,1
507579,53,46,14,0,0,0,6,0,1
507582,83,64,26,1,1,1,6,0,1
507583,52,49,11,0,0,0,14,1,1
507585,30,27,8,0,0,0,5,0,1
507586,43,42,5,0,0,0,0,0,1
507588,328,201,97,0,0,0,10,0,1
507596,10,10,1,0,0,0,3,0,1
507598,1482,489,602,5,5,1,13,2,1
507600,78,62,27,0,0,0,2,0,1
507601,128,84,35,3,2,3,14,0,1
507606,850,461,280,0,0,0,145,2,1
507607,107,81,34,0,0,0,2,0,1
507609,208,135,68,0,0,0,6,0,1
507615,445,242,135,0,0,0,13,0,1
507620,93,75,23,0,0,0,4,0,1
507622,10,10,3,0,0,0,0,0,1
507623,410,228,8,0,0,0,223,0,1
507625,221,138,61,0,0,0,23,0,1
507626,56,44,2,0,0,0,31,0,1
507629,382,217,114,0,0,0,19,0,1
507633,504,284,155,0,0,0,67,0,1
507635,73,53,21,0,0,0,0,0,1
507638,69,60,14,2,1,0,2,0,1
507640,231,230,1,0,0,0,209,0,1
507641,187,127,62,0,0,0,15,1,1
507648,108,82,37,0,0,0,11,0,1
507650,7,7,1,0,0,0,0,0,1
507652,106,97,18,0,0,0,9,0,1
507654,33,30,8,0,0,0,1,0,1
507655,608,275,203,0,0,1,3,1,1
507657,341,190,90,0,0,0,33,0,1
507664,44,35,20,0,0,0,0,0,1
507666,10,10,1,0,0,0,0,0,1
507669,1066,444,329,0,0,0,65,0,1
507670,1243,537,415,0,0,0,101,1,1
507675,71,62,11,0,0,0,14,0,1
507676,65,55,10,0,0,0,14,0,1
507678,700,295,256,0,0,0,33,1,1
507679,57,49,18,0,0,0,2,0,1
507681,71,59,24,0,0,0,2,0,1
507683,79,69,14,0,0,0,16,0,1
507687,58,45,24,0,0,0,1,0,1
507688,134,117,23,0,0,0,10,0,1
507693,119,90,37,0,0,0,10,0,1
507694,174,118,45,0,0,0,26,0,1
507695,114,31,14,0,0,0,12,0,1
507697,199,145,64,0,0,0,15,0,1
507699,97,76,28,0,0,0,6,0,1
507701,15,15,0,0,0,0,10,0,1
507702,32,27,13,0,0,0,0,1,1
507703,311,171,121,0,0,0,1,1,1
507705,115,82,45,0,0,0,4,0,1
507707,38,34,8,0,0,0,12,0,1
507712,89,66,33,0,0,0,4,0,1
507715,99,80,21,0,0,0,19,0,1
507717,203,143,69,0,0,0,3,0,1
507720,8,8,3,0,0,0,0,0,1
507721,18,9,0,0,0,0,8,0,1
507723,13,12,4,0,0,0,1,0,1
507724,358,356,2,0,0,0,30,0,1
507727,487,242,140,5,1,1,24,1,1
507730,187,125,53,3,3,1,14,0,1
507734,8,7,2,0,0,0,1,0,1
507735,41,34,17,0,0,0,0,0,1
507736,115,96,10,0,0,0,38,0,1
507740,160,108,37,6,3,0,21,0,1
507741,549,294,154,0,0,0,21,0,1
507744,282,163,7,0,0,0,168,0,1
507745,121,89,36,1,1,0,6,0,1
507747,5,5,0,0,0,0,3,0,1
507748,34,15,0,2,1,2,11,0,1
507750,36,31,5,0,0,0,8,0,1
507754,55,41,9,0,0,0,6,0,1
507759,119,90,37,0,0,0,10,0,1
507760,39,37,8,0,0,0,0,0,1
507764,162,108,63,0,0,0,8,1,1
507768,24,24,8,0,0,0,3,0,1
507770,32,21,9,0,0,0,1,0,1
507775,40,34,10,0,0,0,3,0,1
507777,30,28,10,0,0,0,2,0,1
507778,64,52,13,0,0,0,5,0,1
507779,169,154,31,0,0,0,11,0,1
